subject,data
faction petrograd combine,"Canon id: world.petrograd_combine. Display name: Petrograd Combine. Type: city_alliance. Default relation to player: neutral. An alliance of petrol extraction cities that dominate the fuel supply in their region. Wealthy and heavily defended by mercenary crawler fleets. Pragmatic and commercially minded — willing to deal with anyone who has something to offer or a service to sell."
faction player crew,"Canon id: world.player_crew. Display name: Player Crew. Type: crawler. Default relation to player: friendly. The player's own sandcrawler and its crew of roughly 20. No fixed allegiance. Starting position and reputation are undefined."
faction scrap raiders,"Canon id: world.scrap_raiders. Display name: Scrap Raiders. Type: crawler_fleet. Default relation to player: hostile. Aggressive crawler packs that prey on lone travelers, small caravans, and poorly defended settlements. Interested primarily in salvage, fuel, and captives. Loosely organized around charismatic warlords. Composition and leadership shift constantly."
industrial city state,"A city built away from any oasis, typically around petrol extraction facilities or occasionally around significant ruins. Depends entirely on imported water and food; economically or politically powerful enough to sustain that dependency. Usually defended by large numbers of mercenary crawlers."
large sandcrawler,"A massive sandcrawler housing hundreds or even thousands of people. May develop complex social classes, specialist guilds, hereditary crew families, and internal politics. Functions as a roaming city-state. Carries a complement of tanks, boarding trucks, and possibly smaller escort crawlers. Armed with naval-style gun batteries."
mercenaries,"Crawlers-for-hire that escort convoys, guard extraction sites, hunt bounties, or roam for salvage and opportunity. Extremely common and a major economic force. Mercenary fleets often defend industrial city-states in exchange for fuel, water, and supplies."
natural gas,"A fuel source used mostly by stationary city infrastructure. Too difficult to safely store and transport in mobile crawlers, making it impractical for nomadic use. A novelty rather than a strategic resource."
navigation,"Without satellites, crawlers navigate by dead reckoning, star charts, compass, and odometer. Established routes between major city-states are passed down through tradition and shared knowledge — invisible highways across the sand. Straying from known routes risks getting lost, running out of fuel or water, or stumbling into hostile territory. The deep desert may hold the remains of crawlers that never arrived at their destination."
nuclear sandcrawler,"An extremely rare sandcrawler powered by a salvaged or maintained nuclear reactor. Only two or three are believed to exist on the planet. Effectively unlimited operational range. The knowledge to build and maintain the reactors is fiercely protected. Possession of a nuclear crawler is a decisive strategic advantage and a cause for wars."
oasis,"Surface water collects in oases fed by deep ancient aquifers — underground reserves left over from a wetter geological era. Some sites are fed by geothermal upwelling and tend to be more reliable; aquifer-fed wells can be over-pumped and exhausted. Nearly every oasis supports a city-state. An oasis running dry is an existential crisis for the city built around it. Dense vegetation grows around oases, analogous to date palms and thick scrub."
oasis city state,"Nearly every oasis supports a city-state. Size tracks the oasis: the smallest subjugated farming settlements may be only a few hundred people; the largest rival medieval London at perhaps two hundred thousand. Cities maintain heavy fixed defenses against raiders and usually field several large allied crawlers. Size and power correlate directly with the oasis it depends on."
old empire,"The planet once belonged to a sprawling interstellar empire. Contact was lost long ago — likely because scarce resources and low strategic value made the world not worth maintaining. The empire is barely remembered: folk stories, garbled oral traditions, and scavenged physical remains."
old empire ruins,"Remnants of the empire: foundations half-buried in sand, collapsed installations, corroded infrastructure. Most ruins have been picked clean over centuries. A few cities are built around major finds (for example the mangled hull of a crashed starship mined for metal). In extremely remote or hostile regions a handful of less-touched ruins may still exist; reaching them is dangerous and any technology inside is poorly understood by current inhabitants."
petrol,"The primary fuel source for sandcrawlers and the most strategically important resource after water. Extracted at dedicated facilities that form the nucleus of industrial city-states. Control of petrol extraction is a major source of political and military power."
player starting conditions,"Default campaign frame: one small petroleum-fueled sandcrawler, lightly armed and armored, with roughly 20 crew (each with their own personalities, skills, and relationships). No fixed allegiance to any city-state or faction. Starting location is open desert — the player chooses direction. Basic supplies of fuel, water, food, and ammunition — enough to reach the nearest civilization if managed carefully."
radio,"The primary means of long-distance communication. There is no orbital infrastructure — no satellites, no global networks. Range is limited by terrain, atmosphere, and equipment quality. Active radio pulses can act like sonar to detect distant crawlers in poor visibility, but broadcasting reveals your position to passive listeners; passive listening stays concealed but short-ranged. Storms degrade both modes and visibility can drop to near zero, so storm edges enable ambush tactics and disciplined fleets may enforce radio silence before engagements. Wealthy city-states may run more powerful transmitters toward neighbors, but nothing spans the planet."
sandcrawler,"Large tracked vehicles serving as mobile homes, fortresses, workshops, and trading posts. They range from small two-story machines (crew ~20) to colossal mobile city-states. Broadly late-20th-century (1990s–2000s) technology for machinery, carried vehicles, and weapons. Most run on liquid petroleum fuel. Coal-fired steam crawlers exist but are heavier, need more crew, and must stay within range of coal-producing regions. A tiny number of the largest crawlers — perhaps only two or three on the planet — run on nuclear reactors, a closely guarded secret granting near-unlimited range; nuclear crawlers are near-mythical."
sandcrawler captain,"You command a tracked sandcrawler crossing the vast deserts of an unnamed planet. You begin with a small crawler and a crew of roughly 20, somewhere in the open desert with no allegiance and no fixed mission — what you do next is entirely your choice."
slavery,"Widespread and socially accepted in most city-states, typically applied to captured enemies or debtors. Not universally systematic. Emancipation is legally possible and not dogmatically forbidden in most societies, though the conditions for it vary widely."
small sandcrawler,"A small sandcrawler crewed by roughly 20 people. Runs a strict military-style command hierarchy. Lightly armored and armed compared to larger vessels. Relies on speed, stealth, and cunning rather than brute force. Carries a few support vehicles such as sand bikes or a single armored car."
society,"Humanity resembles a bronze-age pattern: fragmented, resourceful, relatively few in number, and competing over scarce resources. Societies are generally martial and patriarchal. City-dwellers may see crawler nomads as raiders or as essential partners depending on reputation; crawler crews may see city-dwellers as soft but necessary for resupply. Some people live their whole lives aboard crawlers; others never leave their city walls. No overarching legal authority or universal code of conduct; politics are local."
support vehicles,"Smaller vehicles carried aboard sandcrawlers and deployed for combat, scouting, or errands. Range from sand bikes and armored cars to boarding trucks and tanks of WWI through late Cold War vintage. Transported inside or atop the capital crawler when not in active use."
vegetation,"Dense plant life clusters around oases — thick scrub and trees analogous to date palms. In the open desert, sparse hardy ground cover clings to rocky outcrops where trace moisture collects; away from those anchors the hardpan may be totally barren."
water,"Essential for human survival and the second most critical strategic resource after fuel for movement. Sourced from oasis aquifers. Specialized trading crawlers haul water from oases to industrial cities for profit. An oasis running dry is an existential catastrophe for its city-state."
weather,"The atmosphere is dry with severe day/night temperature swings. Sandstorms driven by thermal differentials are frequent and can last for days, forcing crawlers to halt and batten down; they degrade radio and reduce visibility to near zero. Dust devils are constant. Rainfall is exceptionally rare."
weapons,"Armament spans WWI through end-of-Cold-War-era weapons, meticulously maintained by the crew. The heaviest guns are naval-style batteries. Missiles exist but are rare due to single-use cost and manufacturing difficulty. All weapons and equipment require constant upkeep — nothing is disposable."
wildlife,"Limited to small creatures adapted to extreme aridity: burrowing insects, small lizards, beetles that harvest morning condensation. No large animals — any that once lived near water were hunted to extinction long ago. Not a threat to crawlers but they matter to the ecosystem around oases."
